dataset,seed,method,estimator,scenario,n,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,within_3m,parameters,train_seconds,best_epoch,trained_epochs
UJIIndoorLoc,33,RC-NoConsistency,direct,top20_outage,1111.0,28.36109733581543,12.58082103729248,50.95098876953125,27.34021472930908,83.52003479003906,124.44465255737305,0.0846084608460846,2972146,1379.8429425000213,166,196
UJIIndoorLoc,33,RC-NoConsistency,fused,top20_outage,1111.0,26.28597998553761,11.631281336543372,47.88661256777122,25.37724212162194,71.58330003613113,106.53167502507756,0.0981098109810981,2972146,1379.8429425000213,166,196
UJIIndoorLoc,33,RC-NoConsistency,direct,top20_outage_plus_bias4db,1111.0,28.64690399169922,12.653569221496582,51.41761779785156,27.42946529388428,85.90865325927734,126.58460998535156,0.0729072907290729,2972146,1379.8429425000213,166,196
UJIIndoorLoc,33,RC-NoConsistency,fused,top20_outage_plus_bias4db,1111.0,26.43448800484205,11.870437852916703,48.195379519746176,24.96782607397251,72.59742805046011,109.04131303643469,0.09000900090009,2972146,1379.8429425000213,166,196
UJIIndoorLoc,33,RC-NoCorruption,direct,clean,1111.0,9.607843399047852,7.49175214767456,13.229734420776367,11.97755527496338,19.08223533630371,23.84541606903076,0.144014401440144,2972146,1130.8043345999904,173,200
UJIIndoorLoc,33,RC-NoCorruption,fused,clean,1111.0,8.896308383605142,6.65648215755725,12.59690466525863,10.901594088470972,17.590764314526893,23.555571658797952,0.1809180918091809,2972146,1130.8043345999904,173,200
UJIIndoorLoc,33,RC-NoCorruption,direct,device_offset_-6db,1111.0,10.177223205566406,7.9478864669799805,14.008627891540527,12.421404361724854,20.26997756958008,25.543540000915527,0.1422142214221422,2972146,1130.8043345999904,173,200
UJIIndoorLoc,33,RC-NoCorruption,fused,device_offset_-6db,1111.0,9.569072836711136,7.158847182856388,13.621941377090277,11.73876388237563,19.002823219794365,26.26050549242065,0.18001800180018,2972146,1130.8043345999904,173,200
UJIIndoorLoc,33,RC-NoCorruption,direct,persistent_bias_8db,1111.0,9.939105987548828,7.951316833496094,13.459479331970217,12.499504089355469,19.2954158782959,24.540406227111816,0.1314131413141314,2972146,1130.8043345999904,173,200
UJIIndoorLoc,33,RC-NoCorruption,fused,persistent_bias_8db,1111.0,9.175638278436711,6.971450440676798,12.83145347819202,11.618859605954842,17.916944781255733,24.76664679630996,0.1674167416741674,2972146,1130.8043345999904,173,200
UJIIndoorLoc,33,RC-NoCorruption,direct,top20_outage,1111.0,60.80141067504883,27.09667015075684,86.86662292480469,110.90595626831056,156.60655212402344,168.62496948242188,0.0387038703870387,2972146,1130.8043345999904,173,200
UJIIndoorLoc,33,RC-NoCorruption,fused,top20_outage,1111.0,56.205075655129846,23.42737358800448,83.12901017624195,95.64268517142597,143.69589199366456,170.43399191071543,0.0549054905490549,2972146,1130.8043345999904,173,200
UJIIndoorLoc,33,RC-NoCorruption,direct,top20_outage_plus_bias4db,1111.0,59.53788757324219,24.854490280151367,85.40087890625,106.72425079345705,154.19532775878906,167.4889907836914,0.0306030603060306,2972146,1130.8043345999904,173,200
UJIIndoorLoc,33,RC-NoCorruption,fused,top20_outage_plus_bias4db,1111.0,54.67554065487033,22.99676657162629,81.14566603755787,91.13655529853828,142.9295628030207,167.8767037207973,0.0504050405040504,2972146,1130.8043345999904,173,200
UJIIndoorLoc,33,RC-NoMask,direct,clean,1111.0,8.618598937988281,6.88982629776001,11.347963333129885,10.826047420501707,16.64472770690918,21.141828536987305,0.1557155715571557,2856050,1305.43540200009,165,195
UJIIndoorLoc,33,RC-NoMask,fused,clean,1111.0,8.352443320872444,6.655823880266838,11.120205801466309,10.517982290524753,16.052528112256027,20.175521113063148,0.1656165616561656,2856050,1305.43540200009,165,195
UJIIndoorLoc,33,RC-NoMask,direct,device_offset_-6db,1111.0,8.795369148254395,7.067994117736816,11.468398094177246,11.0859956741333,15.780930519104004,20.50210475921631,0.1458145814581458,2856050,1305.43540200009,165,195
UJIIndoorLoc,33,RC-NoMask,fused,device_offset_-6db,1111.0,8.589230576561464,7.087852958105019,11.325697351366932,10.663756103086332,15.784335477935992,20.490930978498152,0.1593159315931593,2856050,1305.43540200009,165,195
UJIIndoorLoc,33,RC-NoMask,direct,persistent_bias_8db,1111.0,8.760297775268555,7.093803405761719,11.485695838928224,11.224000930786133,16.811723709106445,21.3106107711792,0.1593159315931593,2856050,1305.43540200009,165,195
UJIIndoorLoc,33,RC-NoMask,fused,persistent_bias_8db,1111.0,8.518068378041729,6.835316346514891,11.247394453354245,10.69734131260874,15.827532177336618,20.813018879488556,0.1746174617461746,2856050,1305.43540200009,165,195
UJIIndoorLoc,33,RC-NoMask,direct,top20_outage,1111.0,32.87525939941406,12.522497177124023,58.49040603637695,28.93010139465332,108.0007095336914,152.12773895263672,0.0693069306930693,2856050,1305.43540200009,165,195
UJIIndoorLoc,33,RC-NoMask,fused,top20_outage,1111.0,31.766221130588203,12.00626623198631,56.603667085193536,27.86423433898062,99.79487262241612,146.5131933123612,0.072007200720072,2856050,1305.43540200009,165,195
UJIIndoorLoc,33,RC-NoMask,direct,top20_outage_plus_bias4db,1111.0,33.03365707397461,12.64155387878418,59.5932731628418,28.644185066223145,109.93165588378906,158.74681091308594,0.0765076507650765,2856050,1305.43540200009,165,195
UJIIndoorLoc,33,RC-NoMask,fused,top20_outage_plus_bias4db,1111.0,31.870913955097546,11.958646049553224,57.42446887811699,27.289250414859115,100.5407809882577,152.1829257902474,0.0846084608460846,2856050,1305.43540200009,165,195
UJIIndoorLoc,33,RC-NoReconstruction,direct,clean,1111.0,8.674230575561523,6.69515323638916,11.504964828491213,11.009372234344482,17.047225952148438,22.10086154937744,0.1647164716471647,2734698,1454.7540963999927,173,200
UJIIndoorLoc,33,RC-NoReconstruction,fused,clean,1111.0,8.089882642373823,6.134207880694155,11.05938413476561,10.49270536065435,15.879777354690264,21.028104634600528,0.2295229522952295,2734698,1454.7540963999927,173,200
UJIIndoorLoc,33,RC-NoReconstruction,direct,device_offset_-6db,1111.0,8.803762435913086,7.039665222167969,11.602262496948242,11.241130352020264,16.877338409423828,21.43968105316162,0.1584158415841584,2734698,1454.7540963999927,173,200
UJIIndoorLoc,33,RC-NoReconstruction,fused,device_offset_-6db,1111.0,8.324142444151217,6.550182990483403,11.267629795925023,10.63915776384675,16.277505582912752,21.08996372489876,0.2124212421242124,2734698,1454.7540963999927,173,200
UJIIndoorLoc,33,RC-NoReconstruction,direct,persistent_bias_8db,1111.0,8.938285827636719,7.026601314544678,11.72778034210205,11.529698848724363,17.51951026916504,22.421042442321777,0.1521152115211521,2734698,1454.7540963999927,173,200
UJIIndoorLoc,33,RC-NoReconstruction,fused,persistent_bias_8db,1111.0,8.413632149670871,6.508335952830171,11.33691041381164,10.477323736230815,16.470273173648692,21.72056547121673,0.1944194419441944,2734698,1454.7540963999927,173,200
