dataset,seed,method,scenario,p90_m,mean_m
UTSIndoorLoc,33,RC-NoCoarseHeads,top20_outage_plus_bias4db,18.551512574825058,9.70273499515306
UTSIndoorLoc,33,RC-NoConsistency,clean,11.191559548960822,6.794684048048622
UTSIndoorLoc,33,RC-NoConsistency,device_offset_-6db,11.152468055801611,6.698399890422566
UTSIndoorLoc,33,RC-NoConsistency,persistent_bias_8db,11.576457259274088,6.796027059343208
UTSIndoorLoc,33,RC-NoConsistency,top20_outage,19.16571443444675,9.945172202094987
UTSIndoorLoc,33,RC-NoConsistency,top20_outage_plus_bias4db,19.19513188543541,9.883930076771064
UTSIndoorLoc,33,RC-NoCorruption,clean,13.338022426411706,7.665970479900706
UTSIndoorLoc,33,RC-NoCorruption,device_offset_-6db,13.411395218348115,7.811356485612678
UTSIndoorLoc,33,RC-NoCorruption,persistent_bias_8db,14.932366943935818,7.959745415374044
UTSIndoorLoc,33,RC-NoCorruption,top20_outage,23.856253757082623,12.19265450805394
UTSIndoorLoc,33,RC-NoCorruption,top20_outage_plus_bias4db,24.179910190778653,12.338493335986538
UTSIndoorLoc,33,RC-NoMask,clean,12.47357902474782,7.089836458899956
UTSIndoorLoc,33,RC-NoMask,device_offset_-6db,12.781831888515148,7.1880575276931005
UTSIndoorLoc,33,RC-NoMask,persistent_bias_8db,12.823796179895398,7.332106645373421
UTSIndoorLoc,33,RC-NoMask,top20_outage,25.08568414588245,11.645064181500471
UTSIndoorLoc,33,RC-NoMask,top20_outage_plus_bias4db,24.446358650366047,11.32595642061202
UTSIndoorLoc,33,RC-NoReconstruction,clean,12.017497914041298,6.914624125390428
UTSIndoorLoc,33,RC-NoReconstruction,device_offset_-6db,12.37744651681013,7.010293235600671
UTSIndoorLoc,33,RC-NoReconstruction,persistent_bias_8db,11.974895333583891,7.019499998575328
UTSIndoorLoc,33,RC-NoReconstruction,top20_outage,20.815321027598,10.799707928775234
UTSIndoorLoc,33,RC-NoReconstruction,top20_outage_plus_bias4db,20.97291567621765,10.728370670077954
UTSIndoorLoc,44,RC-NoAugCoord,clean,11.678024007005686,6.760195724835069
UTSIndoorLoc,44,RC-NoAugCoord,device_offset_-6db,11.899729730492576,6.746103874852194
UTSIndoorLoc,44,RC-NoAugCoord,persistent_bias_8db,12.042367763241076,6.98355750364398
UTSIndoorLoc,44,RC-NoAugCoord,top20_outage,23.621698185772857,11.352831120215788
UTSIndoorLoc,44,RC-NoAugCoord,top20_outage_plus_bias4db,22.8545639569179,11.376045779322231
UTSIndoorLoc,44,RC-NoCoarseHeads,clean,12.62944495255462,6.845682881463595
UTSIndoorLoc,44,RC-NoCoarseHeads,device_offset_-6db,12.826939747897235,6.784766747746471
