dataset,seed,method,scenario,n,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,within_3m,floor_accuracy,floor_unknown_fraction,building_accuracy,building_unknown_fraction,train_seconds,latency_ms_per_sample,best_epoch
Tampere,44,RC-Loc,clean,982.0,6.9852615173748225,6.327133127470763,8.157610346286255,9.889727896228116,12.83743979310577,14.43640363403238,0.20264765784114053,0.9226069246435845,0.0,1.0,0.0,3.8284310000017285,0.03357983716856498,73
Tampere,44,RC-Direct,clean,982.0,7.151411533355713,6.562338829040527,8.380913734436035,10.200371265411377,13.225335597991942,15.117962694168078,0.1975560081466395,0.9226069246435845,0.0,1.0,0.0,3.8284310000017285,0.03357983716856498,73
Tampere,55,RC-Loc,clean,982.0,7.262982983354813,6.8349420576246915,8.331216995804684,10.208823576125743,12.823121289657035,14.312555019655212,0.1629327902240326,0.9103869653767821,0.0,1.0,0.0,4.398585099959746,0.047786863589025806,63
Tampere,55,RC-Direct,clean,982.0,7.440751075744629,7.029839992523193,8.462790489196777,10.11788821220398,13.189195156097412,14.825680255889882,0.14969450101832993,0.9103869653767821,0.0,1.0,0.0,4.398585099959746,0.047786863589025806,63
UJI-Library-25M,11,RC-Loc,clean,78000.0,2.898913636871265,2.4382648298192304,3.504367625731916,3.9808694710348673,5.732429815300211,6.821071026313297,0.6051282051282051,1.0,0.0,1.0,0.0,24.818107899976894,0.014171537179022264,14
UJI-Library-25M,11,RC-Direct,clean,78000.0,3.0957443714141846,2.613518714904785,3.769899606704712,4.309420466423035,6.211930131912232,7.360467672348027,0.5654871794871795,1.0,0.0,1.0,0.0,24.818107899976894,0.014171537179022264,14
UJI-Library-25M,11,RC-Loc,month_02,3120.0,2.085377838961857,1.6290401810878041,2.610641660941555,2.8590239838499487,4.313895233648654,5.239975490111855,0.7737179487179487,,,,,24.818107899976894,0.014171537179022264,14
UJI-Library-25M,11,RC-Loc,month_03,3120.0,2.1512827108529335,1.672727319976002,2.7325355715313533,2.8398656224508567,4.431641747851279,5.877355293876785,0.7737179487179487,,,,,24.818107899976894,0.014171537179022264,14
UJI-Library-25M,11,RC-Loc,month_04,3120.0,2.111825578718947,1.6897445397473732,2.624454226249532,2.879619131752002,4.187842770517262,5.076280669873159,0.7689102564102565,,,,,24.818107899976894,0.014171537179022264,14
UJI-Library-25M,11,RC-Loc,month_05,3120.0,2.126568247898212,1.7301940155949094,2.625156662293782,2.856148570342869,4.124881433322591,5.14030096476089,0.7708333333333334,,,,,24.818107899976894,0.014171537179022264,14
UJI-Library-25M,11,RC-Loc,month_06,3120.0,2.1774734179642117,1.7130067857437195,2.719964357980715,2.968954564829619,4.407864031022085,5.499646612009282,0.7548076923076923,,,,,24.818107899976894,0.014171537179022264,14
UJI-Library-25M,11,RC-Loc,month_07,3120.0,2.1976210063729598,1.7816139039105754,2.71267138497573,2.967736530377084,4.277602273721877,5.500860850009388,0.7557692307692307,,,,,24.818107899976894,0.014171537179022264,14
UJI-Library-25M,11,RC-Loc,month_08,3120.0,2.127754700899204,1.7344814842502299,2.638704429392947,2.8688928162189797,4.247002500489599,5.243992067985549,0.7727564102564103,,,,,24.818107899976894,0.014171537179022264,14
UJI-Library-25M,11,RC-Loc,month_09,3120.0,2.179097395694496,1.8140353411329255,2.7024630570364434,2.9147975799352626,4.199122791890161,5.32340165669061,0.7637820512820512,,,,,24.818107899976894,0.014171537179022264,14
UJI-Library-25M,11,RC-Loc,month_10,3120.0,2.1684457255026484,1.771798024651679,2.691496308107564,2.8646625343839798,4.171821645940566,5.374015175498492,0.7666666666666667,,,,,24.818107899976894,0.014171537179022264,14
UJI-Library-25M,11,RC-Loc,month_11,3120.0,2.725430436202981,2.375953964609847,3.221590695540684,3.6757601193188387,5.134112911759564,6.159963399093288,0.6387820512820512,,,,,24.818107899976894,0.014171537179022264,14
UJI-Library-25M,11,RC-Loc,month_12,3120.0,3.317928440819317,2.8882962028465107,3.899712230546988,4.477497207333002,6.162970302528581,7.285859616227746,0.5237179487179487,,,,,24.818107899976894,0.014171537179022264,14
UJI-Library-25M,11,RC-Loc,month_13,3120.0,3.266843221732484,2.865227973645249,3.8526465144523474,4.451516536155833,6.194205956353619,7.162216168381263,0.5278846153846154,,,,,24.818107899976894,0.014171537179022264,14
UJI-Library-25M,11,RC-Loc,month_14,3120.0,3.2104254958215175,2.8052472263500796,3.763308858034153,4.373492216139656,6.061969973254461,7.030147721599506,0.5391025641025641,,,,,24.818107899976894,0.014171537179022264,14
UJI-Library-25M,11,RC-Loc,month_15,3120.0,3.2915544878852905,2.9506777144682452,3.8433551580380456,4.457809888791233,6.040584665621894,7.136401031964348,0.510576923076923,,,,,24.818107899976894,0.014171537179022264,14
UJI-Library-25M,11,RC-Loc,month_16,3120.0,3.295521382404495,2.918400181629857,3.8595162670278604,4.459378837697362,6.169025735418456,7.27482463709298,0.5147435897435897,,,,,24.818107899976894,0.014171537179022264,14
UJI-Library-25M,11,RC-Loc,month_17,3120.0,3.495607073022854,3.179664869818793,4.036732351823688,4.797094755084451,6.324691953472707,7.229327060154011,0.47307692307692306,,,,,24.818107899976894,0.014171537179022264,14
